date,region,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k,copies_per_ml,copies_per_ml_avg,confidence_interval_high,confidence_interval_low
2022-01-01,Suffolk,0.0,1725.29,214.61,0.0,2.14,0.27,,,,
2022-01-01,Norfolk,0.0,1119.14,158.34,0.0,2.14,0.3,,,,
2022-01-01,Middlesex,0.0,2397.57,148.76,0.0,5.0,0.31,,,,
2022-01-01,Essex,0.0,1596.43,202.33,0.0,3.57,0.45,,,,
2022-01-02,Suffolk,0.0,1725.29,214.61,0.0,2.14,0.27,,,,
2022-01-02,Norfolk,0.0,1119.14,158.34,0.0,2.14,0.3,,,,
2022-01-02,Middlesex,0.0,2397.57,148.76,0.0,5.0,0.31,,,,
2022-01-02,Essex,0.0,1596.43,202.33,0.0,3.57,0.45,,,,
2022-01-03,Suffolk,5432.0,2203.86,274.14,0.0,2.14,0.27,,,,
2022-01-03,Norfolk,2773.0,1344.57,190.24,1.0,2.0,0.28,,,,
2022-01-03,Middlesex,6390.0,2943.57,182.64,6.0,5.43,0.34,,,,
2022-01-03,Essex,3938.0,1934.86,245.22,8.0,4.29,0.54,,,,
2022-01-04,Suffolk,2127.0,2330.29,289.87,10.0,3.0,0.37,,,,
2022-01-04,Norfolk,1864.0,1467.57,207.64,11.0,2.71,0.38,,,,
2022-01-04,Middlesex,3385.0,3132.71,194.37,9.0,5.0,0.31,,,,
2022-01-04,Essex,1840.0,2034.57,257.86,16.0,5.71,0.72,,,,
2022-01-05,Suffolk,3783.0,2534.43,315.26,4.0,3.14,0.39,,,,
2022-01-05,Norfolk,2481.0,1604.43,227.01,7.0,3.43,0.49,,,,
2022-01-05,Middlesex,6440.0,3580.43,222.15,9.0,5.14,0.32,,,,
2022-01-05,Essex,3750.0,2242.43,284.2,3.0,5.29,0.67,,,,
2022-01-06,Suffolk,3545.0,2579.29,320.84,3.0,3.14,0.39,,,,
2022-01-06,Norfolk,2260.0,1623.57,229.72,2.0,3.43,0.49,,,,
2022-01-06,Middlesex,6296.0,3876.0,240.49,4.0,4.71,0.29,,,,
2022-01-06,Essex,2992.0,2232.29,282.91,10.0,6.0,0.76,,,,
2021-01-01,Suffolk,0.0,557.57,69.36,0.0,4.71,0.59,,,,
2021-01-01,Norfolk,0.0,377.29,53.38,0.0,5.71,0.81,,,,
2021-01-01,Middlesex,0.0,908.0,56.34,0.0,12.14,0.75,,,,
2021-01-01,Essex,0.0,678.14,85.95,0.0,10.43,1.32,,,,
2021-01-02,Suffolk,1019.0,558.86,69.52,3.0,4.86,0.6,,,,
2021-01-02,Norfolk,756.0,390.14,55.2,5.0,5.86,0.83,,,,
2021-01-02,Middlesex,1607.0,924.86,57.38,11.0,11.71,0.73,,,,
2021-01-02,Essex,974.0,696.14,88.23,15.0,11.0,1.39,,,,
2021-01-03,Suffolk,350.0,549.43,68.34,5.0,4.29,0.53,,,,
2021-01-03,Norfolk,336.0,397.14,56.19,11.0,6.29,0.89,,,,
2021-01-03,Middlesex,599.0,924.71,57.38,19.0,12.43,0.77,,,,
2021-01-03,Essex,360.0,697.71,88.43,10.0,9.86,1.25,,,,
2021-01-04,Suffolk,506.0,547.57,68.11,5.0,4.29,0.53,,,,
2021-01-04,Norfolk,357.0,397.0,56.17,5.0,6.43,0.91,,,,
2021-01-04,Middlesex,842.0,934.14,57.96,13.0,13.14,0.82,,,,
2021-01-04,Essex,861.0,695.57,88.15,11.0,10.71,1.36,,,,
2021-01-05,Suffolk,480.0,552.14,68.68,8.0,4.86,0.6,,,,
2021-01-05,Norfolk,404.0,407.71,57.69,5.0,5.86,0.83,,,,
2021-01-05,Middlesex,842.0,933.14,57.9,12.0,12.86,0.8,,,,
2021-01-05,Essex,538.0,702.14,88.99,5.0,10.43,1.32,,,,
2021-01-06,Suffolk,831.0,578.14,71.92,6.0,4.57,0.57,,,,
2021-01-06,Norfolk,469.0,409.14,57.89,7.0,5.71,0.81,,,,
2021-01-06,Middlesex,1307.0,930.57,57.74,18.0,12.0,0.74,,,,
2021-01-06,Essex,1110.0,702.71,89.06,13.0,9.86,1.25,,,,
2021-01-07,Suffolk,929.0,587.86,73.13,5.0,4.57,0.57,,,,
2021-01-07,Norfolk,540.0,408.86,57.85,7.0,5.71,0.81,,,,
2021-01-07,Middlesex,1426.0,946.14,58.7,5.0,11.14,0.69,,,,
